iter	Passed	Remaining
427	1750	2339
428	1753	2334
429	1757	2330
430	1761	2325
431	1765	2321
432	1769	2317
433	1773	2312
434	1776	2307
435	1780	2302
436	1784	2298
437	1788	2294
438	1791	2289
439	1795	2284
440	1798	2280
441	1802	2275
442	1806	2271
443	1809	2266
444	1813	2261
445	1817	2257
446	1820	2252
447	1824	2247
448	1828	2243
449	1832	2239
450	1835	2234
451	1839	2229
452	1842	2224
453	1846	2220
454	1850	2216
455	1853	2211
456	1857	2206
457	1860	2202
458	1864	2197
459	1868	2193
460	1871	2188
461	1875	2183
462	1879	2179
463	1882	2175
464	1886	2170
465	1890	2166
466	1894	2161
467	1897	2157
468	1901	2152
469	1905	2148
470	1908	2143
471	1912	2139
472	1916	2135
473	1919	2130
474	1923	2125
475	1927	2121
476	1930	2117
477	1934	2112
478	1937	2107
479	1941	2103
480	1945	2098
481	1948	2094
482	1952	2089
483	1955	2085
484	1959	2080
485	1963	2076
486	1966	2071
487	1971	2068
488	1974	2063
489	1978	2059
490	1982	2054
491	1985	2049
492	1989	2045
493	1992	2041
494	1996	2037
495	2000	2032
496	2004	2028
497	2007	2023
498	2012	2020
499	2015	2015
500	2019	2011
501	2023	2007
502	2026	2002
503	2030	1998
504	2034	1993
505	2037	1989
506	2041	1984
507	2045	1981
508	2049	1976
509	2053	1972
510	2056	1968
511	2060	1964
512	2064	1959
513	2068	1955
514	2071	1950
515	2075	1946
516	2079	1942
517	2082	1938
518	2086	1933
519	2089	1929
520	2094	1925
521	2097	1920
522	2101	1916
523	2105	1912
524	2109	1908
525	2113	1904
526	2117	1900
527	2121	1896
528	2125	1892
529	2128	1887
530	2132	1883
531	2135	1879
532	2139	1874
533	2143	1870
534	2146	1865
535	2149	1861
536	2153	1857
537	2157	1852
538	2160	1848
539	2164	1843
540	2168	1839
541	2171	1835
542	2175	1830
543	2178	1826
544	2182	1821
545	2186	1817
546	2189	1813
547	2193	1809
548	2197	1804
549	2201	1800
550	2204	1796
551	2208	1792
552	2211	1787
553	2215	1783
554	2219	1779
555	2222	1775
556	2226	1770
557	2229	1766
558	2233	1762
559	2237	1757
560	2240	1753
561	2244	1748
562	2247	1744
563	2251	1740
564	2255	1736
565	2258	1732
566	2262	1727
567	2266	1723
568	2270	1719
569	2273	1715
570	2277	1710
571	2280	1706
572	2284	1702
573	2288	1698
574	2292	1694
575	2295	1689
576	2299	1685
577	2303	1681
578	2307	1677
579	2310	1673
580	2314	1669
581	2318	1665
582	2322	1661
583	2325	1656
584	2329	1652
585	2333	1648
586	2337	1644
587	2340	1640
588	2344	1635
589	2348	1631
590	2352	1627
591	2355	1623
592	2359	1619
593	2362	1615
594	2366	1610
595	2369	1606
596	2373	1602
597	2377	1597
598	2381	1593
599	2384	1589
600	2388	1585
601	2391	1581
602	2395	1577
603	2399	1572
604	2404	1569
605	2407	1565
606	2412	1561
607	2415	1557
608	2419	1553
609	2423	1549
610	2427	1545
611	2431	1541
612	2434	1537
613	2438	1532
614	2441	1528
615	2446	1524
616	2449	1520
617	2453	1516
618	2456	1512
619	2461	1508
620	2464	1504
621	2467	1499
622	2471	1495
623	2475	1491
624	2479	1487
625	2483	1483
626	2487	1479
627	2490	1475
628	2494	1471
629	2497	1467
630	2501	1462
631	2504	1458
632	2508	1454
633	2512	1450
634	2516	1446
635	2519	1442
636	2523	1438
637	2527	1434
638	2530	1429
639	2534	1425
640	2537	1421
641	2541	1417
642	2545	1413
643	2548	1408
644	2552	1404
645	2555	1400
646	2559	1396
647	2563	1392
648	2566	1388
649	2570	1384
650	2574	1380
651	2578	1376
652	2582	1372
