iter	RMSE
0	0.1283204067
1	0.121406427
2	0.1152171785
3	0.1099710916
4	0.1053274972
5	0.1014914385
6	0.09806651961
7	0.09495894209
8	0.09242495944
9	0.09050300634
10	0.08842751127
11	0.08656797889
12	0.08502395477
13	0.08356223137
14	0.08256459673
15	0.08139936001
16	0.08054280309
17	0.07980078479
18	0.07902404305
19	0.07810202951
20	0.0773076174
21	0.07674030593
22	0.07607015836
23	0.07560915698
24	0.07506867682
25	0.07470624075
26	0.07417054031
27	0.07376216028
28	0.07332155444
29	0.07305253537
30	0.07267363977
31	0.07236789602
32	0.07206146924
33	0.07181617294
34	0.07152277331
35	0.0712950196
36	0.07110650392
37	0.07085347046
38	0.07061368809
39	0.07044969176
40	0.07028540443
41	0.07004415159
42	0.06990633608
43	0.06974698199
44	0.06952454429
45	0.06930707219
46	0.06913764106
47	0.06903249891
48	0.06878565935
49	0.06862230344
50	0.06847268579
51	0.06829026383
52	0.0680810459
53	0.06795977274
54	0.0677799598
55	0.06766747843
56	0.06758560379
57	0.06745965745
58	0.06731900325
59	0.06720781216
60	0.06712754568
61	0.06701069122
62	0.06689893093
63	0.06671008043
64	0.06662823512
65	0.06643916878
66	0.06633092914
67	0.06624079236
68	0.06612163106
69	0.06601781331
70	0.06584813143
71	0.06574172252
72	0.0656507656
73	0.06554457516
74	0.0654226079
75	0.06529835269
76	0.06516434384
77	0.06509915516
78	0.06500340331
79	0.06496555311
80	0.06490340878
81	0.06481580065
82	0.06472427003
83	0.06463911435
84	0.06455864465
85	0.06444698806
86	0.06431126983
87	0.06426793975
88	0.06420739564
89	0.06410157689
90	0.06405728191
91	0.06399447482
92	0.06392153498
93	0.06383778758
94	0.06377563303
95	0.0637111079
96	0.06357160712
97	0.06352013614
98	0.06333595877
99	0.06325993851
100	0.06319618574
101	0.06307595704
102	0.06296612689
103	0.06290466354
104	0.06283487974
105	0.06276752604
106	0.06273839211
107	0.06265344115
108	0.06258412439
109	0.0625402799
110	0.06248771731
111	0.0624257004
112	0.06236981602
113	0.06232232799
114	0.0622641977
115	0.06223738073
116	0.06219814588
117	0.06211203111
118	0.06202125372
119	0.06197840045
120	0.06184925899
121	0.06175651934
122	0.06169812943
123	0.06163702555
124	0.06152555892
125	0.06148119604
126	0.06136286951
127	0.06131081986
128	0.06123957096
129	0.06119728192
130	0.0610832638
131	0.06104151431
132	0.06100872094
133	0.06092095472
134	0.06086153489
135	0.06081103863
136	0.06077573592
137	0.06073973649
138	0.06070951489
139	0.06062575912
140	0.06058149955
141	0.06051918531
142	0.06047233047
143	0.06036924005
144	0.06033627282
145	0.06030173818
146	0.06026429334
147	0.06020841835
148	0.06013639069
149	0.06008399729
150	0.0600507114
151	0.05998122416
152	0.05989874539
153	0.05985194583
154	0.05980594579
155	0.05976703531
156	0.0597412104
157	0.05967709666
158	0.05962738982
159	0.05960026835
160	0.05950071067
161	0.05943517405
162	0.0593440921
163	0.05929644939
164	0.05926013666
165	0.05915935174
166	0.05910892062
167	0.05905162115
168	0.05901588309
169	0.05898410096
170	0.05892015948
171	0.05886627021
172	0.05883958364
173	0.05879875131
174	0.05876356521
175	0.05873431884
176	0.05867706078
177	0.05864828959
178	0.05861962201
179	0.05859259069
180	0.0585101804
181	0.05842865106
182	0.05838736307
183	0.05833670951
184	0.05831141478
185	0.05823087125
186	0.05820001379
187	0.05810728855
188	0.05806112573
189	0.05798679974
190	0.05793675135
191	0.05789289789
192	0.0578522584
193	0.05777315943
194	0.05771689026
195	0.05764958421
196	0.05762509882
197	0.05758838581
198	0.05755234199
199	0.0575240415
200	0.0574869784
201	0.05746561992
202	0.05743100363
203	0.05737696025
204	0.05733339769
205	0.05729978006
206	0.05725886458
207	0.05720535878
208	0.05714693603
209	0.05709886542
210	0.05705816662
211	0.0569708816
212	0.05692247094
213	0.05688179615
214	0.05685239727
215	0.05682421864
216	0.05674618557
217	0.05670597066
218	0.05666961475
219	0.05660385498
220	0.05654831722
221	0.05650384288
222	0.05643955634
223	0.05642116528
224	0.05635720906
225	0.05629372187
226	0.05626688174
227	0.05623669262
228	0.05620380364
229	0.05617923577
230	0.05611223069
231	0.05603931859
232	0.05600465946
233	0.05597025396
234	0.05595235807
235	0.05589663835
236	0.05585299049
237	0.05581653264
238	0.05578851349
239	0.05577039239
240	0.0557282697
241	0.05569081427
242	0.05565826745
243	0.05563936255
244	0.05559361706
245	0.05554458074
246	0.05551814089
247	0.05549997707
248	0.05545647488
249	0.05543180644
250	0.05540982431
251	0.05533359065
252	0.05531535785
253	0.05526560328
254	0.05523296845
255	0.05521371076
